"Tabela 6588 - Série histórica da estimativa anual da área plantada, área colhida, produção e rendimento médio dos produtos das lavouras"
"Variável - Produção (Toneladas)"
"Unidade da Federação","Mês x Produto das lavouras"
"Unidade da Federação","setembro 2006",,"outubro 2006",,"novembro 2006",,"dezembro 2006",,"janeiro 2007",,"fevereiro 2007",,"março 2007",,"abril 2007",,"maio 2007",,"junho 2007",,"julho 2007",,"agosto 2007",,"setembro 2007",,"outubro 2007",,"novembro 2007",,"dezembro 2007",,"janeiro 2008",,"fevereiro 2008",,"março 2008",,"abril 2008",,"maio 2008",,"junho 2008",,"julho 2008",,"agosto 2008",,"setembro 2008",,"outubro 2008",,"novembro 2008",,"dezembro 2008",,"janeiro 2009",,"fevereiro 2009",,"março 2009",,"abril 2009",,"maio 2009",,"junho 2009",,"julho 2009",,"agosto 2009",,"setembro 2009",,"outubro 2009",,"novembro 2009",,"dezembro 2009",,"janeiro 2010",,"fevereiro 2010",,"março 2010",,"abril 2010",,"maio 2010",,"junho 2010",,"julho 2010",,"agosto 2010",,"setembro 2010",,"outubro 2010",,"novembro 2010",,"dezembro 2010",,"janeiro 2011",,"fevereiro 2011",,"março 2011",,"abril 2011",,"maio 2011",,"junho 2011",,"julho 2011",,"agosto 2011",,"setembro 2011",,"outubro 2011",,"novembro 2011",,"dezembro 2011",,"janeiro 2012",,"fevereiro 2012",,"março 2012",,"abril 2012",,"maio 2012",,"junho 2012",,"julho 2012",,"agosto 2012",,"setembro 2012",,"outubro 2012",,"novembro 2012",,"dezembro 2012",,"janeiro 2013",,"fevereiro 2013",,"março 2013",,"abril 2013",,"maio 2013",,"junho 2013",,"julho 2013",,"agosto 2013",,"setembro 2013",,"outubro 2013",,"novembro 2013",,"dezembro 2013",,"janeiro 2014",,"fevereiro 2014",,"março 2014",,"abril 2014",,"maio 2014",,"junho 2014",,"julho 2014",,"agosto 2014",,"setembro 2014",,"outubro 2014",,"novembro 2014",,"dezembro 2014",,"janeiro 2015",,"fevereiro 2015",,"março 2015",,"abril 2015",,"maio 2015",,"junho 2015",,"julho 2015",,"agosto 2015",,"setembro 2015",,"outubro 2015",,"novembro 2015",,"dezembro 2015",,"janeiro 2016",,"fevereiro 2016",,"março 2016",,"abril 2016",,"maio 2016",,"junho 2016",,"julho 2016",,"agosto 2016",,"setembro 2016",,"outubro 2016",,"novembro 2016",,"dezembro 2016",,"janeiro 2017",,"fevereiro 2017",,"março 2017",,"abril 2017",,"maio 2017",,"junho 2017",,"julho 2017",,"agosto 2017",,"setembro 2017",,"outubro 2017",,"novembro 2017",,"dezembro 2017",,"janeiro 2018",,"fevereiro 2018",,"março 2018",,"abril 2018",,"maio 2018",,"junho 2018",,"julho 2018",,"agosto 2018",,"setembro 2018",,"outubro 2018",,"novembro 2018",,"dezembro 2018",,"janeiro 2019",,"fevereiro 2019",,"março 2019",,"abril 2019",,"maio 2019",,"junho 2019",,"julho 2019",,"agosto 2019",,"setembro 2019",,"outubro 2019",,"novembro 2019",,"dezembro 2019",,"janeiro 2020",,"fevereiro 2020",,"março 2020",,"abril 2020",,"maio 2020",,"junho 2020",,"julho 2020",,"agosto 2020",,"setembro 2020",,"outubro 2020",,"novembro 2020",,"dezembro 2020",,"janeiro 2021",,"fevereiro 2021",,"março 2021",,"abril 2021",,"maio 2021",,"junho 2021",,"julho 2021",,"agosto 2021",,"setembro 2021",,"outubro 2021",,"novembro 2021",,"dezembro 2021",,"janeiro 2022",,"fevereiro 2022",,"março 2022",,"abril 2022",,"maio 2022",,"junho 2022",,"julho 2022",,"agosto 2022",,"setembro 2022",,"outubro 2022",,"novembro 2022",,"dezembro 2022",,"janeiro 2023",,"fevereiro 2023"
"Ceará","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","1264","..","1264","..","1264","..","4500","..","2697","..","21","..","21","..","21","..","209","..","209","..","209","..","209","..","209","..","209","..","241","..","219","..","219","..","219","..","219","..","219","..","219","..","727","..","727","..","839","..","839","..","839","..","836","..","28","..","28","..","548","..","548","..","548","..","548","..","548","..","548","..","548","..","548","..","409","..","279","..","449","..","449","..","449","..","450","..","3250","..","3250","..","3250","..","4391","..","4391","..","4391","..","4391","..","4391","..","804","..","804","..","804","..","804","..","804","..","804","..","804","..","804","..","804","..","804","..","805","..","809","..","4442","..","807","..","807","..","807","..","807","..","807","..","807","..","807","..","807","..","807","..","32","..","48","..","34","..","34","..","0","..","0","..","0","..","0","..","0","..","0","..","0","..","0","..","0","..","0","..","0","..","0"
"Rio Grande do Norte","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-"
"Paraíba","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-"
"Pernambuco","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","49247","..","59321","..","59321","..","50235","..","43772","..","39664","..","56716","..","54958","..","61199","..","75887","..","42880","..","28134","..","28134","..","27360","..","23677","..","23677","..","23677","..","33758","..","54000","..","54000","..","54000","..","72850","..","45571","..","45571","..","45571","..","45571","..","45571","..","41392","..","41392","..","4319","..","59867","..","64685","..","64685","..","81248","..","59000","..","59000","..","35047","..","35047","..","38125","..","37285","..","34399","..","33824","..","60725","..","64241","..","64241","..","64241","..","64241","..","64241","..","64241","..","49211","..","49211","..","27069","..","27069","..","26704","..","31235","..","38891","..","38891","..","36909","..","36169","..","29611","..","29416","..","28199","..","28199","..","28199","..","28199","..","18893","..","19476","..","19476","..","29450","..","29450","..","15063","..","14276","..","14951","..","16955","..","16955","..","33930","..","35977","..","38120","..","15475","..","15475","..","38256","..","53232","..","53232","..","53232","..","44068","..","41272","..","39977","..","34522","..","34522","..","33185","..","31068","..","31068","..","69938","..","69938","..","69938","..","69938","..","69938","..","69938","..","69938","..","69938","..","69938","..","69938","..","40813","..","40813"
"Alagoas","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","6751","..","77","..","77","..","66","..","66","..","66","..","66","..","66","..","314","..","314","..","314","..","314","..","314","..","314","..","3949","..","3986","..","3986","..","3986","..","3986","..","16","..","16","..","16","..","16","..","29308","..","29553","..","32230","..","32230","..","22124","..","22124","..","36851","..","36851","..","36851","..","36851","..","46529","..","40000","..","32432","..","23214","..","14313","..","14313","..","51091","..","51091","..","55723","..","55723","..","55723","..","55723","..","55723","..","46997","..","58700","..","58700","..","43811","..","43811","..","51262","..","51262","..","51262","..","57757","..","57757","..","57757","..","57757","..","59164","..","59164","..","59164","..","59164","..","61283","..","66215","..","66215","..","66215","..","69606","..","69606","..","69606","..","69606","..","91681","..","82497","..","82497","..","82497","..","70490","..","105841","..","105841","..","105841","..","98678","..","108184","..","108184","..","108184","..","88618","..","79521","..","79521","..","58368","..","58368","..","115000","..","115000"
"Sergipe","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","750718","..","750718","..","750718","..","750718","..","854245","..","854245","..","833245","..","793802","..","793802","..","492186","..","468185","..","480476","..","792329","..","792329","..","792329","..","792329","..","722344","..","722344","..","722344","..","722344","..","722344","..","393542","..","393542","..","290575","..","641363","..","641363","..","641363","..","641363","..","687809","..","687809","..","687809","..","770897","..","770897","..","757482","..","700902","..","700902","..","628500","..","628500","..","628500","..","658320","..","658320","..","658320","..","845290","..","845290","..","845290","..","762464","..","817722","..","760996","..","792000","..","792000","..","792000","..","792000","..","792000","..","815799","..","815799","..","815799","..","815799","..","815799","..","494903","..","495095","..","792000","..","792000","..","770000","..","770000","..","770000","..","770000","..","811165","..","243420","..","187847","..","161332","..","161332","..","139933","..","643340","..","643340","..","643340","..","643340","..","643340","..","643340","..","643340","..","793003","..","793003","..","793466","..","793466","..","793466","..","643340","..","643340","..","643340","..","643978","..","643978","..","643978","..","738780","..","495719","..","172727","..","169957","..","160984","..","160984","..","520639","..","520639","..","520639","..","520639","..","724500","..","724500","..","657800","..","657800","..","664609","..","655897","..","655897","..","655897","..","576622","..","638400","..","638400","..","638400","..","638400","..","747010","..","747010","..","847797","..","847797","..","847797","..","847797","..","847797","..","682515","..","908600","..","908600","..","908600","..","885422","..","885422","..","885422","..","732123","..","730838","..","730838","..","726640","..","755098","..","748992","..","748992","..","748992","..","748992","..","748992","..","748992","..","748992","..","748992","..","748992","..","748992","..","887178","..","887178","..","749153","..","749153"
"Bahia","..","471949","..","459677","..","459677","..","421657","..","333710","..","333710","..","333710","..","333710","..","333710","..","537698","..","569955","..","727873","..","657664","..","657664","..","521187","..","519675","..","428650","..","428650","..","428650","..","364010","..","488719","..","520086","..","540958","..","500208","..","519703","..","503516","..","477603","..","477775","..","416209","..","416209","..","416209","..","461163","..","513369","..","513474","..","484552","..","476289","..","504665","..","553650","..","545830","..","514499","..","423793","..","423793","..","423793","..","508302","..","484636","..","483026","..","592352","..","572461","..","601023","..","597047","..","597047","..","676048","..","490889","..","490889","..","490889","..","490889","..","735160","..","771796","..","660666","..","362760","..","299841","..","299841","..","310279","..","310279","..","497588","..","497588","..","497588","..","497588","..","497588","..","367628","..","367628","..","308148","..","292349","..","221874","..","221874","..","135916","..","299267","..","299267","..","299267","..","299267","..","499910","..","499910","..","575435","..","584860","..","607910","..","696653","..","696653","..","692540","..","494127","..","494127","..","692540","..","711107","..","711107","..","704970","..","704970","..","704970","..","704970","..","487782","..","487782","..","440129","..","411200","..","411200","..","442869","..","442869","..","536551","..","536551","..","536551","..","536551","..","536551","..","546979","..","630120","..","630120","..","411200","..","411200","..","411200","..","411200","..","411200","..","411200","..","411200","..","411200","..","272000","..","272000","..","272000","..","272000","..","469800","..","469800","..","468000","..","444300","..","444300","..","473700","..","468000","..","468000","..","517200","..","517200","..","517200","..","517200","..","351000","..","351000","..","351000","..","351000","..","351000","..","516600","..","461400","..","461400","..","461400","..","47400","..","47400","..","47400","..","319440","..","319440","..","303600","..","303600","..","303600","..","303600","..","276000","..","276000","..","276000","..","276000","..","276000","..","276000","..","358800","..","358800","..","358800","..","358800","..","370000","..","370000","..","370000","..","480000","..","615000","..","650000","..","800000","..","800000","..","550000","..","550000","..","550000","..","550000","..","620000","..","620000","..","620000","..","550000","..","550000","..","515000","..","550000","..","600000","..","550000","..","550000","..","650000","..","650000","..","650000","..","650000","..","650000","..","650000","..","650000","..","650000","..","650000","..","650000","..","520780","..","520780"
"Minas Gerais","..","98822","..","98612","..","98612","..","85652","..","93815","..","93815","..","93815","..","117985","..","119083","..","98077","..","98077","..","99166","..","99341","..","99473","..","99518","..","101818","..","107014","..","116156","..","155123","..","188005","..","205602","..","206776","..","213988","..","216988","..","216972","..","216272","..","216272","..","216274","..","158915","..","216300","..","216300","..","180338","..","152097","..","133342","..","138968","..","152872","..","143697","..","175977","..","175977","..","170023","..","170000","..","158407","..","155429","..","156859","..","164777","..","162851","..","162792","..","163570","..","163660","..","164471","..","164471","..","164322","..","135032","..","194314","..","250465","..","268463","..","260326","..","277475","..","322390","..","328655","..","328498","..","323658","..","324208","..","327352","..","329567","..","337300","..","462470","..","474351","..","469930","..","489258","..","514484","..","514504","..","523170","..","534498","..","533072","..","533626","..","541869","..","526837","..","537456","..","560712","..","584995","..","602103","..","619597","..","618895","..","619555","..","620181","..","620181","..","620146","..","745413","..","756906","..","880260","..","1039094","..","1210279","..","1210279","..","1229716","..","1200473","..","1209873","..","1208308","..","1208242","..","1205092","..","1228237","..","1207605","..","1215891","..","1287486","..","1361394","..","1363067","..","1397440","..","1405877","..","1405161","..","1410426","..","1411776","..","1408386","..","1646622","..","1645093","..","1966590","..","2060802","..","958979","..","939744","..","918219","..","918219","..","800171","..","800071","..","799821","..","797421","..","1892069","..","1668753","..","1926245","..","2039208","..","1975802","..","1946734","..","1946734","..","1855507","..","1759876","..","1760076","..","1759560","..","1743780","..","1881411","..","1881411","..","1881411","..","1881411","..","1881411","..","1881411","..","1881411","..","1881411","..","1881411","..","2085955","..","2085955","..","2092858","..","1930851","..","1930851","..","2147252","..","2144705","..","2160200","..","2170966","..","2173641","..","2187917","..","2953165","..","2946082","..","2945721","..","2989761","..","2652212","..","2652212","..","2652212","..","2654384","..","2698473","..","2758897","..","2733733","..","2842432","..","3058248","..","3044973","..","3036196","..","3036196","..","2673239","..","2673239","..","3473249","..","3473249","..","3416074","..","2930204","..","2912513","..","2139536","..","1924254","..","1892134","..","1892134","..","1892134","..","2870726","..","2870726","..","2938533","..","2938533","..","3158330","..","2772497","..","2707199","..","2256008","..","2255884","..","2255884","..","2255884","..","2255884","..","3026037","..","3026037"
"Espírito Santo","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","7345","..","7345","..","7349","..","7408","..","7149","..","7149","..","7281","..","7275","..","2675","..","2675","..","2675","..","2675","..","2675","..","2675","..","2675","..","7273","..","4622","..","4622","..","3855","..","3885","..","3779","..","3854","..","3931","..","3931","..","3811","..","3811","..","3871","..","4323","..","4323","..","6507","..","6507","..","6507","..","6507","..","6507","..","9047","..","9047","..","9047","..","9047","..","9047","..","11450","..","11450","..","11450","..","5621","..","5621","..","5726","..","5726","..","5718","..","5718","..","5718","..","5718","..","5718","..","5236","..","5236","..","5695","..","5695","..","5695","..","5701","..","5701","..","5755","..","5705","..","5705","..","5705","..","5761","..","5624","..","5814","..","5882","..","5882","..","5922","..","5922","..","5922","..","5872","..","5872","..","5872","..","5872","..","5872","..","6325","..","6325","..","7318","..","7318","..","7318","..","7369","..","7369","..","7369","..","16363","..","16363","..","16363","..","17207","..","20368","..","20368"
"Rio de Janeiro","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","608","..","608","..","608","..","608","..","608","..","608","..","831","..","831","..","831","..","796","..","1386","..","1386","..","1386","..","1257","..","1329","..","1396","..","1396","..","1040","..","1373","..","2193","..","2193","..","1958","..","1958","..","2478","..","2620","..","2620","..","2620","..","2620","..","2620","..","2616","..","2581","..","2581","..","2581","..","1366","..","1366","..","1366","..","1366","..","1243","..","1172","..","1172","..","1172","..","1172","..","3072","..","3072","..","3072","..","1167","..","2375","..","2375","..","2375","..","2375","..","2375","..","2391","..","2391","..","3058","..","3058","..","3036","..","4404","..","4455","..","4455","..","4507","..","4507","..","4507","..","4507","..","4507","..","4489","..","4489","..","4489","..","4489","..","4489","..","2615","..","2615","..","2615","..","2615","..","2629","..","2629","..","2629","..","2629","..","2629","..","2587","..","2587","..","2584","..","4359","..","4359","..","4383","..","4383","..","4383","..","4383","..","4383","..","4383","..","4383","..","4383","..","4383","..","4363","..","4634","..","4634"
"São Paulo","..","590480","..","590480","..","590480","..","590480","..","718149","..","718149","..","718149","..","617300","..","617300","..","617300","..","617300","..","617300","..","617300","..","617300","..","617300","..","617300","..","663626","..","663626","..","716010","..","716010","..","785900","..","785900","..","962050","..","962050","..","962050","..","962050","..","962050","..","962050","..","757174","..","757174","..","757174","..","757174","..","757174","..","913276","..","913276","..","913276","..","913276","..","913276","..","913276","..","913276","..","749805","..","749805","..","749805","..","749805","..","749805","..","749805","..","749805","..","1070100","..","1070100","..","1068408","..","1068408","..","1068408","..","888260","..","820998","..","820998","..","820998","..","820998","..","900000","..","900000","..","900000","..","900000","..","996150","..","996150","..","777161","..","880250","..","1112000","..","1112000","..","1112000","..","1112000","..","1188655","..","1188655","..","1188655","..","1286610","..","1286610","..","1286610","..","1354157","..","1047886","..","1388600","..","1388600","..","1388600","..","1388600","..","1333000","..","1333000","..","1333000","..","1247901","..","1247901","..","1247901","..","1424051","..","1197790","..","1197790","..","1197790","..","1197790","..","1197790","..","1197790","..","1249793","..","1249793","..","1249793","..","1461600","..","1461600","..","1461600","..","1243334","..","1243334","..","1243334","..","1243334","..","1243334","..","1243334","..","1501700","..","1501700","..","1501700","..","1712016","..","1712016","..","1714996","..","1562639","..","1428000","..","1428000","..","1428000","..","1428000","..","1428000","..","1400000","..","1400000","..","1458923","..","1458923","..","1458923","..","1461600","..","1562639","..","1562639","..","1562639","..","1622525","..","1622525","..","1622525","..","2129421","..","2129421","..","2481700","..","2481700","..","2481700","..","2464900","..","2036496","..","2036496","..","2036496","..","2812027","..","2812027","..","2429300","..","2429300","..","2429300","..","1968000","..","1968000","..","1968000","..","1809500","..","2502138","..","2502138","..","2203197","..","2203197","..","2203197","..","2338990","..","2338990","..","2338990","..","2395437","..","2395437","..","2395437","..","2620360","..","2229584","..","2229584","..","2229584","..","2229584","..","2229584","..","2694300","..","2694300","..","2694300","..","2158500","..","2158500","..","2158500","..","2335500","..","2388339","..","2388339","..","2388339","..","2537500","..","2537500","..","2537500","..","2537500","..","2537500","..","1926700","..","1926700","..","1926700","..","1500000","..","2526365","..","2526365","..","2526365","..","1911802","..","1911802","..","1911802","..","1911802","..","1911802","..","2100000","..","2100000","..","2190900","..","2190900","..","1845983","..","1845983"
"Paraná","..","3456779","..","3456779","..","3456779","..","3456779","..","3716708","..","4754385","..","5487720","..","5614689","..","5732447","..","5158265","..","5158265","..","5046236","..","5161065","..","5161065","..","5161065","..","5161065","..","5075061","..","6335364","..","6398644","..","6478968","..","6493422","..","5489325","..","5501849","..","5561950","..","5659657","..","5659657","..","5659657","..","5659657","..","5620002","..","6390176","..","6463015","..","5778773","..","5772361","..","4585489","..","4760690","..","4723886","..","4723886","..","4559486","..","4559486","..","4559486","..","5408789","..","6044540","..","5920463","..","5920463","..","5851473","..","5912726","..","6315278","..","6378958","..","6622424","..","6622424","..","6622424","..","6622424","..","5238043","..","6863227","..","7094847","..","7328872","..","7424442","..","7442908","..","5192189","..","5531850","..","6033317","..","6189255","..","6189255","..","6189255","..","9609222","..","9618931","..","9565548","..","9971173","..","10233077","..","10329643","..","10329643","..","10311408","..","10183679","..","10183679","..","10183679","..","10183679","..","11367861","..","11303004","..","11468069","..","11546686","..","10849180","..","10932409","..","10988255","..","10423978","..","10360970","..","10360970","..","10360970","..","10360970","..","10154602","..","10011557","..","9983073","..","9982417","..","9959864","..","9966142","..","10207352","..","10245499","..","10350777","..","10350777","..","10350777","..","10350777","..","9919722","..","9953471","..","9981747","..","10047801","..","10390011","..","10782264","..","11010142","..","11179970","..","11284993","..","11284993","..","11284993","..","11284993","..","10378043","..","11999966","..","12638803","..","12398712","..","12209986","..","11408211","..","11232849","..","10910484","..","10517283","..","10517283","..","10517283","..","10420666","..","13479636","..","13370101","..","13665541","..","13877010","..","13827073","..","13864664","..","13714555","..","13621499","..","13412478","..","13380366","..","13380366","..","13380366","..","12278504","..","12351205","..","12295954","..","12243147","..","10008123","..","9428125","..","9299243","..","9299243","..","9119942","..","8976029","..","8976029","..","8976029","..","12687615","..","12766275","..","13000554","..","13026622","..","12964822","..","13463985","..","13661756","..","13407588","..","13358484","..","13424300","..","13424300","..","13424300","..","12346342","..","12403841","..","12485341","..","12235000","..","11263100","..","11364900","..","11548700","..","11771200","..","11658600","..","11659300","..","11661800","..","11661800","..","13582800","..","13553000","..","13382700","..","12230000","..","10298000","..","9821100","..","6110100","..","5923700","..","5526500","..","5796200","..","5751400","..","5751400","..","15195300","..","15541400","..","15709481","..","16008500","..","16005100","..","15447300","..","14659600","..","13823400","..","13326528","..","13294700","..","13294700","..","13294700","..","15372600","..","15384664"
